order_id,region_id,city,courier_id,lng,lat,aoi_id,aoi_type,accept_time,accept_gps_lng,accept_gps_lat,delivery_time,delivery_gps_lng,delivery_gps_lat,ds,region_center_lat,region_center_lng
3459225,1,Shanghai,420,121.52124,31.06686,450,1,2022/9/7 11:51,121.52295,31.10786,2022/9/7 18:54,121.52128,31.06685,907,31.10685617,121.5228476
705091,1,Shanghai,534,121.52069,31.06727,450,1,2022/10/11 18:01,121.52296,31.10779,2022/10/11 18:46,121.5206,31.06717,1011,31.10685617,121.5228476
2545410,1,Shanghai,540,121.52053,31.06726,450,1,2022/9/12 19:40,121.52285,31.1078,2022/9/12 20:30,121.52056,31.06718,912,31.10685617,121.5228476
3799613,1,Shanghai,2621,121.52209,31.06515,450,1,2022/8/14 17:56,121.52286,31.106,2022/8/14 18:36,121.522,31.06521,814,31.10685617,121.5228476
3074816,1,Shanghai,2923,121.52062,31.06727,450,1,2022/8/6 10:26,121.52278,31.10603,2022/8/6 11:55,121.52054,31.06717,806,31.10685617,121.5228476
4245432,1,Shanghai,4467,121.52113,31.06705,450,1,2022/9/11 9:45,121.52298,31.10788,2022/9/11 15:42,121.52112,31.06712,911,31.10685617,121.5228476
125049,1,Shanghai,4467,121.52123,31.06585,450,1,2022/9/2 13:31,121.52288,31.10773,2022/9/2 18:56,121.52131,31.06592,902,31.10685617,121.5228476
691939,1,Shanghai,4467,121.52125,31.06596,450,1,2022/8/13 13:25,121.52278,31.10594,2022/8/13 16:58,121.52132,31.06586,813,31.10685617,121.5228476
1618925,1,Shanghai,4467,121.52136,31.0659,450,1,2022/9/27 14:26,121.52291,31.10777,2022/9/27 19:11,121.53737,31.06146,927,31.10685617,121.5228476
1319796,1,Shanghai,4467,121.52109,31.06717,450,1,2022/9/26 9:27,121.52285,31.10778,2022/9/26 17:26,121.5211,31.06707,926,31.10685617,121.5228476
1710115,1,Shanghai,4467,121.52111,31.06709,450,1,2022/8/21 10:07,121.52279,31.10606,2022/8/21 13:31,121.52118,31.06719,821,31.10685617,121.5228476
3656919,1,Shanghai,4467,121.52125,31.0659,450,1,2022/8/24 10:31,121.52273,31.10591,2022/8/24 17:20,121.52139,31.06597,824,31.10685617,121.5228476
489050,1,Shanghai,4467,121.52113,31.0674,450,1,2022/9/18 9:04,121.52288,31.10788,2022/9/18 18:22,121.5211,31.0674,918,31.10685617,121.5228476
4063311,1,Shanghai,4467,121.52153,31.06546,450,1,2022/9/21 9:20,121.52296,31.10785,2022/9/21 18:44,121.52148,31.06541,921,31.10685617,121.5228476
4088793,1,Shanghai,4467,121.5213,31.06593,450,1,2022/8/22 9:52,121.52283,31.10594,2022/8/22 12:18,121.52125,31.0659,822,31.10685617,121.5228476
1548542,1,Shanghai,4467,121.52128,31.06582,450,1,2022/9/12 9:22,121.52286,31.1078,2022/9/12 16:56,121.52136,31.06596,912,31.10685617,121.5228476
587175,1,Shanghai,4467,121.52132,31.06591,450,1,2022/8/28 9:59,121.52286,31.10778,2022/8/28 12:46,121.52132,31.06586,828,31.10685617,121.5228476
538107,1,Shanghai,4467,121.52139,31.06582,450,1,2022/8/14 10:14,121.52281,31.10602,2022/8/14 18:43,121.52133,31.06584,814,31.10685617,121.5228476
